tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
207425203,1.223865,1956.9428,1.5,885.1,57.87,0.2249,False,odd/even depth differ by 23.0% (731 vs 921 ppm),0.0
207439380,1.104168,3367.9604,1.0,9708.4,16.5,0.4162,True,,0.4162
207491214,6.223002,2830.415,4.0,10613.3,236.4,0.993,True,,0.993
207937389,3.179003,4048.0042,3.0,17174.4,150.09,0.9891,True,,0.9891
207981861,3.456929,3099.4999,3.0,58107.2,62.52,0.8984,False,depth 5.81% exceeds 3.0% cap,0.0
208091447,4.659763,3070.2373,3.0,8811.7,82.34,0.8619,True,,0.8619
208151094,4.066442,3101.1955,3.0,17679.2,20.99,0.9846,False,odd/even depth differ by 17.4% (16961 vs 20193 ppm),0.0
208297760,13.565188,3108.9624,2.0,3257.3,12.82,0.0829,False,odd/even depth differ by 174.7% (4015 vs 271 ppm),0.0
208719443,2.403901,3099.7267,3.0,33935.3,191.0,0.9806,False,depth 3.39% exceeds 3.0% cap,0.0
208772468,2.244986,3099.581,2.0,21475.7,26.7,0.8724,True,,0.8724
209054294,3.517129,4074.1269,2.0,5372.7,48.32,0.9145,True,,0.9145
209310912,3.676321,3155.3265,2.0,15667.3,34.13,0.072,True,,0.072
209408136,3.129436,3938.3126,1.5,5092.8,39.54,0.7064,True,,0.7064
209707800,2.051893,3069.3189,1.5,11122.8,283.09,0.7271,True,,0.7271
209923610,3.000117,3070.2751,3.0,14219.4,232.14,0.9897,True,,0.9897
210169818,3.387748,3506.7758,4.0,10885.9,47.31,0.9889,True,,0.9889
210441429,2.405142,3069.2022,3.0,10498.4,302.71,0.9933,True,,0.9933
210445631,3.97244,3071.8209,4.0,6813.9,224.49,0.9882,True,,0.9882
210629725,3.027243,3068.8585,4.0,13836.6,95.64,0.9275,True,,0.9275
210681065,2.074268,3069.0709,3.0,9058.4,173.63,0.9282,True,,0.9282
210873792,4.849517,1631.3235,3.0,1201.0,13.1,0.4144,False,odd/even depth differ by 34.7% (1424 vs 1003 ppm),0.0
211352962,0.793802,3883.908,1.0,1939.5,20.6,0.7985,False,odd/even depth differ by 25.3% (1675 vs 2161 ppm),0.0
211446495,4.867081,4078.6714,2.0,11552.6,11.42,0.8364,True,,0.8364
213111428,2.275335,3098.6875,1.0,60506.4,16.91,0.1233,False,depth 6.05% exceeds 3.0% cap,0.0
213875310,2.668823,3508.6996,2.0,16915.3,20.55,0.9888,True,,0.9888
214218272,3.364582,3100.7208,3.0,10581.2,37.51,0.9867,True,,0.9867
214243287,5.752324,3098.8,3.0,7211.4,25.14,0.8923,True,,0.8923
214361331,3.216753,1628.8956,8.0,649.5,60.0,0.0049,True,,0.0049
214515989,11.329525,3889.4836,4.0,9539.4,7.35,0.9633,False,odd/even depth differ by 19.8% (8165 vs 9955 ppm),0.0
215018906,4.371028,3315.3504,4.0,3326.7,21.38,0.9944,True,,0.9944
215595454,2.095959,3313.2511,3.0,16427.9,29.63,0.9717,True,,0.9717
216925130,3.834222,3098.8607,6.0,1632.3,20.07,0.4966,False,odd/even depth differ by 82.2% (2096 vs 875 ppm),0.0
216935214,18.259562,1633.2298,1.0,1344.8,19.54,0.5419,False,odd/even depth differ by 26.2% (1150 vs 1497 ppm),0.0
217838717,2.884642,3099.8544,3.0,12473.1,60.65,0.9781,True,,0.9781
217980791,2.660959,3561.4879,1.5,11905.4,34.89,0.9796,True,,0.9796
218354669,1.761799,2448.9007,2.0,284.1,7.0,0.4012,False,odd/even depth differ by 57.1% (181 vs 326 ppm),0.0
218483943,13.085473,3110.5108,3.0,2088.3,9.35,0.0,False,odd/even depth differ by 56.2% (2031 vs 1140 ppm),0.0
218988652,6.752089,2967.8714,1.5,9321.9,32.6,0.7973,True,,0.7973
219108677,5.983036,3287.0369,2.0,34723.0,577.22,0.9748,False,depth 3.47% exceeds 3.0% cap,0.0
219113246,2.985984,2393.2178,1.5,2028.3,66.26,0.623,False,odd/even depth differ by 17.9% (2239 vs 1872 ppm),0.0
219175972,12.889999,1335.5132,2.0,2792.0,18.04,0.6912,True,,0.6912
219181903,12.917608,2975.5651,4.0,5020.2,89.26,0.9935,True,,0.9935
219187649,2.150311,1546.4951,1.0,8857.9,69.22,0.8941,True,,0.8941
219195044,4.323878,1412.8364,1.5,770.9,39.82,0.6632,True,,0.6632
219225319,13.288812,3944.1943,2.0,5942.1,10.7,0.8022,False,odd/even depth differ by 32.9% (4834 vs 6735 ppm),0.0
219229644,11.01874,1390.8231,3.0,469.4,7.94,0.0605,False,odd/even depth differ by 197.2% (6 vs 789 ppm),0.0
219253008,5.066024,1390.2228,6.0,2580.1,308.48,0.8678,True,,0.8678
219306934,1.347759,2037.5456,1.0,513.9,30.67,0.7677,False,odd/even depth differ by 18.2% (521 vs 434 ppm),0.0
219338557,8.199821,1327.2388,2.0,652.0,23.45,0.9028,False,odd/even depth differ by 22.2% (593 vs 741 ppm),0.0
219345200,19.973457,1414.9271,4.0,1393.0,49.09,0.923,False,odd/even depth differ by 131.4% (1075 vs 223 ppm),0.0
219431828,14.789273,2943.8917,1.5,7290.3,7.36,0.2698,True,,0.2698
