tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
353459965,10.863753,2918.1886,4.0,9882.4,25.5,0.9296,True,,0.9296
353475866,1.766745,1817.6645,1.5,512.9,18.74,0.8166,False,odd/even depth differ by 19.9% (544 vs 445 ppm),0.0
354469661,4.794729,2885.6842,4.0,5954.9,57.66,0.9766,True,,0.9766
354619337,2.148725,2798.2954,4.0,6165.3,85.33,0.9863,True,,0.9863
354944123,5.538266,1660.0707,2.0,1244.6,32.8,0.9814,True,,0.9814
355703913,2.10619,1326.0843,1.5,6011.7,109.21,0.3585,True,,0.3585
355867695,16.607972,1696.644,3.0,1820.0,24.41,0.9749,False,odd/even depth differ by 17.9% (1666 vs 1994 ppm),0.0
356473034,2.615799,1843.2316,2.0,11398.9,106.92,0.883,True,,0.883
356867115,6.096214,1686.1285,2.0,744.0,55.87,0.1289,True,,0.1289
357501308,7.435615,1958.2578,2.0,1210.4,23.87,0.9769,True,,0.9769
358070912,0.883106,3015.8611,2.0,1492.1,130.19,0.4911,True,,0.4911
358107516,11.913303,2041.8925,4.0,11342.6,287.23,0.3504,True,,0.3504
358516596,3.244162,2011.5774,3.0,9636.2,167.62,0.9468,True,,0.9468
359271092,7.57683,1551.6656,2.0,231.6,23.22,0.9919,True,,0.9919
360630575,5.105045,2337.5807,8.0,618.3,16.03,0.0263,True,,0.0263
360742636,2.549493,1659.2892,3.0,9431.3,140.8,0.0844,True,,0.0844
361343239,2.350584,3015.5354,3.0,10026.0,218.26,0.9643,True,,0.9643
361711730,10.243363,3104.0844,2.0,7305.9,86.52,0.1714,True,,0.1714
362249359,1.041882,1544.135,1.0,343.1,15.02,0.7659,True,,0.7659
363548415,13.208659,2526.5926,3.0,5433.9,12.43,0.1338,False,odd/even depth differ by 53.1% (3441 vs 5927 ppm),0.0
363851359,2.544232,2309.0359,2.0,5487.9,27.34,0.1196,False,odd/even depth differ by 30.3% (4696 vs 6372 ppm),0.0
364186197,4.424564,1740.8924,2.0,941.2,360.74,0.0643,True,,0.0643
364395234,1.37579,1545.3184,3.0,4721.7,986.13,0.0341,True,,0.0341
365007485,13.340877,2526.54,1.0,4426.9,10.63,0.0114,True,,0.0114
365733349,2.699917,1712.3306,3.0,1595.0,431.23,0.1034,True,,0.1034
366119858,11.922096,3617.9297,6.0,5640.2,3.45,0.7066,False,odd/even depth differ by 61.2% (3015 vs 5671 ppm),0.0
366410512,13.622356,1503.1455,1.0,4852.8,10.76,0.0761,False,odd/even depth differ by 137.0% (875 vs 4681 ppm),0.0
366411016,17.690675,2245.2384,6.0,1137.0,5.6,0.2741,False,odd/even depth differ by 54.2% (1254 vs 719 ppm),0.0
366443426,15.571988,1507.0038,4.0,282.5,26.8,0.9758,True,,0.9758
366484980,13.774966,1500.9955,4.0,245.9,15.55,0.667,False,odd/even depth differ by 19.7% (257 vs 211 ppm),0.0
366568760,8.406873,1495.6329,4.0,760.6,10.38,0.1177,False,odd/even depth differ by 23.9% (579 vs 736 ppm),0.0
366576758,11.390709,1495.8642,3.0,13639.1,51.59,0.9437,True,,0.9437
366622912,3.114924,1493.2746,2.0,21790.8,200.61,0.9822,True,,0.9822
366631954,4.737063,2230.2071,2.0,982.5,18.89,0.6552,True,,0.6552
366989877,15.507783,1664.964,4.0,512.5,26.68,0.9325,True,,0.9325
367366318,2.7348,1816.5065,3.0,7517.6,400.45,0.9849,True,,0.9849
367858035,10.35277,1796.3216,3.0,672.0,39.72,0.9392,False,odd/even depth differ by 187.7% (1477 vs 47 ppm),0.0
368287008,3.34651,1956.0349,1.0,5093.2,7.86,0.1944,False,odd/even depth differ by 38.0% (3756 vs 5515 ppm),0.0
368435330,3.645261,1902.8628,2.0,728.5,18.83,0.8958,True,,0.8958
368739874,3.357144,2694.1214,1.5,22299.4,5.19,0.9272,True,,0.9272
368805700,3.577585,2695.9903,3.0,13179.8,8.89,0.9943,True,,0.9943
369327947,0.676365,1628.9148,0.5,253.9,12.12,0.3792,True,,0.3792
369455629,3.377017,2038.5026,2.0,4210.6,95.46,0.9786,True,,0.9786
371188886,9.127022,2283.4817,3.0,3827.4,199.42,0.9929,True,,0.9929
371234684,3.922927,1842.8238,3.0,10148.1,82.21,0.9642,True,,0.9642
371443216,2.823994,2282.4533,4.0,6702.3,211.24,0.964,True,,0.964
372172128,1.194692,2036.5512,2.0,636.7,18.91,0.1518,True,,0.1518
372207328,0.837666,1738.8604,0.5,829.6,37.56,0.9787,False,odd/even depth differ by 17.5% (768 vs 915 ppm),0.0
373693175,1.327332,1900.812,2.0,14771.5,151.5,0.9816,True,,0.9816
374180079,14.697901,2267.6764,3.0,1486.2,14.13,0.4077,True,,0.4077
374530847,2.152216,2770.2311,1.5,13840.3,49.59,0.9721,True,,0.9721
375506058,2.650183,1712.6983,2.0,4504.8,783.68,0.9105,True,,0.9105
375942197,3.898978,2797.7079,4.0,5924.6,47.59,0.9767,True,,0.9767
376353509,7.331568,2720.0546,1.0,743.3,16.19,0.1784,True,,0.1784
376524552,3.713121,1903.5785,1.5,14802.8,62.08,0.9406,True,,0.9406
376637093,2.055985,2855.0193,3.0,12616.5,415.94,0.936,True,,0.936
376939759,5.817625,2452.3133,2.0,7390.5,28.25,0.6601,True,,0.6601
377064495,10.779124,1527.0255,3.0,910.9,29.95,0.6941,True,,0.6941
377780790,0.83748,1683.8849,1.5,176.0,16.1,0.4622,False,odd/even depth differ by 41.7% (193 vs 127 ppm),0.0
377873569,3.849244,2421.1697,2.0,1155.6,48.16,0.7662,True,,0.7662
379929661,4.786953,2232.9812,4.0,7327.4,114.87,0.9607,True,,0.9607
380255458,6.569293,2559.0453,3.0,12524.7,18.94,0.9844,False,odd/even depth differ by 78.1% (5695 vs 12987 ppm),0.0
380589029,1.348456,1658.0724,3.0,10903.7,367.16,0.0736,True,,0.0736
380619414,2.655663,2527.0501,2.0,18667.2,186.23,0.9699,True,,0.9699
380887434,12.665634,2460.2634,2.0,1560.3,8.65,0.6105,True,,0.6105
380907135,4.046092,2450.1134,4.0,6788.8,79.47,0.9881,True,,0.9881
381856447,1.769093,2037.7183,1.0,3952.7,118.31,0.0244,True,,0.0244
382391899,1.955092,1411.0931,1.5,16200.7,102.85,0.9782,True,,0.9782
382602147,2.135765,2062.3132,2.0,17409.8,213.1,0.3451,True,,0.3451
382626661,17.617735,1333.4577,3.0,591.7,140.81,0.4907,True,,0.4907
384888319,5.879762,2448.5092,2.0,984.2,11.01,0.8426,False,odd/even depth differ by 31.2% (1158 vs 846 ppm),0.0
386259537,5.611478,2234.5326,6.0,4506.6,67.9,0.9923,True,,0.9923
387342052,19.608428,3253.519,2.0,27627.4,17.99,0.0546,True,,0.0546
387690507,6.387674,1470.1857,2.0,19048.9,76.72,0.9667,True,,0.9667
388076422,2.576154,2827.2352,1.0,40283.5,83.8,0.9215,False,depth 4.03% exceeds 3.0% cap,0.0
388104525,2.499762,1327.4342,3.0,10750.6,1993.72,0.7565,True,,0.7565
388804061,16.468871,2537.2524,2.0,1410.4,6.06,0.0341,False,odd/even depth differ by 182.6% (126 vs 2774 ppm),0.0
388811663,17.205395,2461.3635,2.0,2495.6,7.67,0.0142,False,odd/even depth differ by 197.4% (21 vs 3192 ppm),0.0
388909695,13.368465,3536.0796,6.0,4761.9,9.88,0.9874,False,odd/even depth differ by 32.0% (6027 vs 4366 ppm),0.0
389352124,4.95476,2038.7277,3.0,5759.7,109.49,0.9676,True,,0.9676
389900760,5.799626,1795.854,2.0,2684.4,10.31,0.676,False,odd/even depth differ by 40.8% (1895 vs 2868 ppm),0.0
390651552,1.467103,1931.1621,1.0,1278.6,53.92,0.9157,True,,0.9157
391903064,3.348486,1325.838,8.0,1719.1,83.99,0.0114,False,odd/even depth differ by 17.6% (1115 vs 935 ppm),0.0
391958006,1.743051,2771.5317,2.0,24621.0,42.5,0.9561,True,,0.9561
392476080,0.672484,2718.7253,1.5,6404.7,92.81,0.702,True,,0.702
392681545,7.50506,2913.1008,6.0,163.9,6.65,0.9086,True,,0.9086
393414358,4.378128,1469.683,4.0,6345.8,257.51,0.8921,True,,0.8921
393495970,1.755441,2527.2221,1.5,12364.6,99.23,0.9749,True,,0.9749
393818343,14.597397,2811.2415,4.0,10296.6,6.23,0.9806,True,,0.9806
393831507,4.86098,2641.8834,2.0,5330.9,15.07,0.9347,True,,0.9347
393940766,4.867081,2062.2601,3.0,4109.2,15.74,0.9959,True,,0.9959
